pageid,qid,P21,P27,P106,label_en
81244264,Q57240581,['Q6581072'],[],['Q1650915'],Sara E Wilson
81244266,Q879599,['Q6581097'],['Q183'],['Q82955'],Björn Fecker
81244341,Q136437396,['Q6581072'],[],[],Laventa
81244349,Q105532097,['Q6581097'],[],[],Severo Maria Eulálio Neto
81244410,Q77419097,['Q6581072'],['Q34'],"['Q169470', 'Q17652193']",Signe Torborg Schmidt-Nielsen
81244450,Q2848794,['Q6581097'],['Q142'],"['Q82955', 'Q1914832', 'Q1622272']",André Viola
81244476,Q131577832,['Q6581072'],"['Q142', 'Q974']",['Q177220'],Théodora
81244671,Q66663422,['Q6581097'],['Q29'],['Q82955'],Javier Aureliano García Molina
81244677,Q136429488,['Q6581097'],[],[],Ulises Correa
81244703,Q10914620,['Q6581097'],['Q298'],"['Q82955', 'Q40348']",Eduardo Alessandri Rodríguez
81244720,Q1269947,['Q6581097'],['Q183'],"['Q1930187', 'Q14972848', 'Q17598791', 'Q4964182', 'Q16267607', 'Q201788', 'Q5758653']",Eduard Johnson
81244756,Q136432722,['Q6581097'],[],[],Galvarino Palacios
81244824,Q9009441,['Q6581097'],['Q298'],"['Q82955', 'Q774306']",Isauro Torres Cereceda
81244827,Q120682358,['Q6581097'],['Q183'],['Q2309784'],Henri Kiefer
81244862,Q126363463,['Q6581097'],['Q27'],['Q2309784'],Rónán Dunne
81244865,Q104181454,['Q6581097'],[],"['Q1930187', 'Q82955']",Alejandro Chelén Rojas
81244866,Q129263103,['Q6581097'],['Q96'],['Q937857'],Diego Ochoa
81244920,Q136430440,['Q6581097'],[],"['Q47064', 'Q1402561']",Robert I. Rees
81244928,Q5905069,['Q6581097'],['Q298'],"['Q82955', 'Q40348']",Humberto Álvarez Suárez
81244949,Q1752082,['Q6581097'],['Q183'],['Q36180'],Lutz Dijk
81245011,Q116936283,['Q6581072'],['Q17'],['Q622807'],Yumika Yano
81245012,Q136430509,['Q6581097'],[],['Q1930187'],Rouhollah Zamzameh
81245138,Q29073383,['Q6581097'],['Q15180'],"['Q1622272', 'Q2526255']",Dmitry Sidorov
81245199,Q136430506,['Q6581097'],[],[],Aleksandar Radišić
81245231,Q62056397,['Q6581072'],[],['Q50768646'],Florence Simms
81245505,Q136430557,['Q6581097'],[],[],Uladzislau Hryb
81245588,Q116217499,['Q6581097'],[],['Q937857'],Tomás Aránguiz
81245671,Q136430556,['Q6581097'],[],['Q43845'],Effingham B. Sutton
